X,Y,OBJECTID,Station,Class,Count_,MFCount,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Lat_DD,Long_DD,Grow_Area,GlobalID
524117.6231,4889964.7346,132,EC026.90,P,30,30,2.6,0.33,50,7,31,163,44.1624900002197,-68.6983600004014,EC,ebfb528a-e814-45fa-ba03-6c56e63dde76
524494.535,4890093.8613,133,EC027.00,A,30,30,3.3,0.37,24,10.2,31,163,44.1636400000288,-68.6936399994509,EC,6943894f-ce5a-4184-96dd-b87b3f8197e3
524135.3404,4890365.7715,134,EC027.40,A,30,30,2.7,0.36,72,7.8,31,163,44.1661000001455,-68.698120000326,EC,0f71b5d3-2c67-4c50-9f27-5923ac8432bc
523999.4367,4891894.7451,136,EC027.80,A,30,30,2.3,0.27,31,5.3,31,163,44.1798700002006,-68.6997499997737,EC,1aae51ab-f193-4ac2-86da-04e6b2ba7b23
524166.4827,4892332.9845,137,EC028.00,R,30,30,5.5,0.53,158,26.4,31,163,44.1838100001832,-68.6976399999271,EC,fb99732f-a828-4a03-9c87-a803af1965d2
522567.2506,4895556.1898,142,EC031.00,A,30,30,2.3,0.29,31,5.7,31,163,44.2128800000891,-68.717510000443,EC,31797c3c-2ff6-4a57-b976-c9548f593a74
525465.5439,4896803.0455,144,EC033.00,P,30,30,2.5,0.23,15,4.9,31,163,44.224009999588,-68.681169999731,EC,7a1609c5-fdb4-4d47-bb5f-7825ea62eb6e
528069.8386,4875123.4616,146,ED001.50,A,30,30,1.9,0.05,4,2.3,31,163,44.0287299997248,-68.6497200005864,ED,db4b63f3-636c-44c3-827e-c4deb39fb900
528844.5655,4880118.3294,151,ED003.70,A,30,30,2,0.09,5.5,2.6,31,163,44.0736700000037,-68.6397799997208,ED,ab18ae5f-0208-45de-b8fa-992403752df8
531840.3963,4880416.4553,157,ED005.10,A,30,30,2.1,0.23,22,4.3,31,163,44.076229999765,-68.6023499997724,ED,8c50fa2a-dc21-4b53-bdc5-5cec7821efae
544758.5543,4890111.7178,161,EE001.00,R,30,30,5.6,0.75,1020,52.4,31,163,44.162839999606,-68.440200000526,EE,9492829a-47e2-478c-8a3d-239b4f18c89d
544889.2813,4890288.1096,162,EE001.20,A,30,30,3.7,0.57,140,20.4,31,163,44.1644199996588,-68.4385500002206,EE,775243fa-9281-4e6e-9790-7b5aaf33f863
545107.4589,4890536.1925,163,EE001.50,A,30,30,4.2,0.5,130,18.8,31,163,44.1666399998156,-68.4357999997546,EE,53a6fb17-6ff3-4fcb-b861-741f15ac6576
545813.9212,4891156.4424,164,EE001.80,A,30,30,4.3,0.59,380,24.9,31,163,44.1721799999197,-68.4269100001383,EE,a6df5e00-bab9-491e-8089-3baa4bf2b24c
546219.92,4891288.1339,165,EE002.00,R,30,30,6.6,0.59,88,38.2,31,163,44.1733400000642,-68.4218200004938,EE,6dfb5bef-17d4-4afd-9372-114e4db8f459
546126.7389,4892262.7346,166,EE003.00,A,30,30,3.2,0.43,84,11.5,31,163,44.1821200002998,-68.4229000000551,EE,006bc65e-51f3-4c62-bb54-9df2bb270387
544657.8273,4887752.8883,172,EE006.80,A,30,30,3.1,0.41,36,10.6,31,163,44.1416099997865,-68.4416600005779,EE,1ed13292-ed5f-402a-97d0-1362341e94dc
545056.1074,4887877.787,173,EE007.00,R,30,30,11.1,0.75,320,102.3,31,163,44.1427099999878,-68.4366699995182,EE,4c5c171d-66be-429e-a569-7c4b1e18d06e
544557.2601,4888901.8424,174,EE008.00,A,30,30,3.7,0.4,46,12.4,31,163,44.1519600003976,-68.4428200004049,EE,6347e6a4-5a95-4c28-8c50-444ef9953bc5
544018.5315,4888978.1897,177,EE009.30,P,30,30,4,0.43,72,14.6,31,163,44.1526799999675,-68.4495499993834,EE,95685030-3ea8-4993-afd6-485059a839dc
544076.6054,4888068.8674,178,EE009.50,P,30,30,2.8,0.34,66,7.8,31,163,44.1444899996905,-68.4488999999679,EE,1e057ed5-7acb-4192-9f38-8462324b5428
543988.1431,4887422.9257,179,EE009.70,A,30,30,3,0.35,38,8.8,31,163,44.138680000353,-68.4500600000951,EE,0bda8a0a-777f-428d-8512-2b501b4f96cd
543770.501,4888755.4936,180,EE010.00,A,30,30,3.5,0.45,78,13.9,31,163,44.1506900002268,-68.4526700002509,EE,c4edd83d-9d79-462b-9e63-902882273720
543464.3694,4889818.681,181,EE011.00,A,30,30,3.1,0.47,240,12.8,31,163,44.1602800003688,-68.4564100003479,EE,e4f9aabe-6ae8-4da0-adf2-3b00910abcee
543104.6091,4889808.5376,182,EE011.30,R,30,30,4.7,0.54,68,23.6,31,163,44.1602100004427,-68.4609099995034,EE,2263ccc5-e96e-4ed9-99c6-73ca128d3821
542905.6316,4889911.6475,183,EE011.40,R,30,30,5.8,0.67,900,43,31,163,44.1611499998532,-68.4633899994495,EE,7a8e9d08-71c8-46c6-b9c1-ddcbcdf2b625
542033.2095,4889920.4527,186,EE013.00,A,30,30,3.4,0.49,320,14.8,31,163,44.1612800003704,-68.4743000004098,EE,4b161e1f-4717-439b-97eb-5bd638356172
542443.2923,4891671.4211,189,EE015.00,R,30,30,3.5,0.58,200,20.4,31,163,44.1770199997611,-68.4690299998346,EE,4d18033e-3ad7-4602-b4a8-fe5a116112e1
544148.644,4891633.7824,192,EE016.50,A,30,30,2.6,0.41,160,9.2,31,163,44.1765799999894,-68.4476999995931,EE,840e5fb3-2f38-45c6-a3d6-74100b61cc72
543556.8265,4889863.7231,194,EE017.00,A,30,30,3.1,0.52,108,14.5,31,163,44.1606799998672,-68.4552500000615,EE,7054d5ba-f576-4835-800d-3676e18b39d2
550842.9112,4885315.1977,197,EE019.00,A,30,30,2.1,0.15,8,3.3,31,163,44.1192600000933,-68.3645700005146,EE,a433a6d2-7c8c-4cab-b744-5f41b27c5254
535369.7809,4902301.6807,201,EF001.90,R,30,30,7.4,0.66,114,52.6,31,163,44.2730999998885,-68.5567999995746,EF,7ca5e03d-83c2-44d5-a114-22c00aea5205
535520.9713,4902677.9375,202,EF002.00,R,30,30,7.1,0.64,118,47.5,31,163,44.2764799998799,-68.5548799999832,EF,c57b6f0b-3a0c-4cfa-8360-916d17ae0d67
537627.6128,4901040.2114,203,EF002.50,A,30,30,3.3,0.46,62,13.2,31,163,44.2616300002413,-68.5286000004601,EF,3eadadf2-e49b-4b2b-8dcb-2e99588966d9
537610.1611,4902967.2943,205,EF004.00,A,30,30,3.6,0.61,880,22,31,163,44.2789799999077,-68.5286799993846,EF,240c58e4-3306-4e79-bc00-a46533885185
536297.9207,4904321.6918,207,EF005.00,A,30,30,2.5,0.35,66,7.3,31,163,44.2912400002894,-68.545029999877,EF,08019de7-3da6-4cf9-a794-071c0dbc0dd5
534764.7993,4906364.9599,208,EF006.00,A,30,30,3.3,0.53,560,15.8,31,163,44.3097100000205,-68.5641100003526,EF,d5852564-435f-4a69-aff3-60388cf92b54
536143.1333,4911247.6327,210,EF008.00,P,30,30,2.9,0.36,56,8.5,31,163,44.3535999996686,-68.5464900000139,EF,515606bd-94db-42e8-8519-985f895bcd36
535097.2997,4913505.7028,211,EF009.00,A,30,30,2.1,0.15,9.1,3.3,31,163,44.3739800003902,-68.5594599996686,EF,80ab6f10-caa6-4354-99ff-56da7f04c4e3
534516.7954,4911489.8719,212,EF009.30,A,30,30,2,0.14,10,3.1,31,163,44.3558600002705,-68.5668800004187,EF,e3e389cc-10c3-46c4-b12c-d41df37d4721
533296.032,4909266.4273,213,EF009.70,A,30,30,2.7,0.38,66,8.4,31,163,44.3359000004094,-68.5823400003519,EF,1a911669-8393-4631-9e47-4e89bd3f8908
532824.9348,4909095.2069,214,EF010.00,CA,30,30,3.7,0.55,136,19.2,31,163,44.3343800002518,-68.5882600004049,EF,59d1f6e6-2534-4218-bec4-8aa740bc8a9f
533212.3833,4910195.7193,215,EF010.50,CA,30,30,3.1,0.48,108,13.1,31,163,44.3442700000299,-68.5833300004621,EF,32262cf6-0db4-4ae8-8fcd-5295bb10c6f5
533296.6568,4911333.5826,216,EF011.00,CA,30,30,3.6,0.6,1700,21.6,31,163,44.3545100000836,-68.5822000000865,EF,e42e278b-e1af-4fa2-8208-053e6898e36d
533627.8953,4911237.5312,217,EF011.30,A,30,30,3.1,0.35,40,9,31,163,44.3536299999316,-68.5780499999586,EF,d554d236-a65a-4a2c-90ba-fc0737f1b84f
534076.7948,4912116.2622,219,EF012.10,A,30,30,2.6,0.33,25,7,31,163,44.3615199998715,-68.5723600005031,EF,b66757fe-7363-4582-b6b6-0c1125c518c7
534922.0943,4913939.0795,220,EF013.00,A,30,30,2.1,0.16,10,3.4,31,163,44.3778899999709,-68.5616300004276,EF,0681a156-8fd6-4221-bd38-3cd22ed6e18d
534523.5871,4914725.616,221,EF014.00,A,30,30,3.2,0.48,108,13.6,31,163,44.3849899996214,-68.5665799997159,EF,5981db13-3a28-422c-8bce-541fd6e7502a
534488.7555,4915588.5123,222,EF015.00,CR,30,30,4.2,0.73,1700,37.2,31,163,44.3927600000934,-68.5669600003872,EF,be8420ee-2ce4-4684-a32b-1ede622b72f1
534340.6278,4916039.8209,223,EF016.00,CA,30,30,4.1,0.54,200,20.4,31,163,44.3968300001751,-68.568790000192,EF,40074f7f-2528-4d3d-9e57-2c382f13c58c
534675.9748,4916776.9371,225,EF016.50,CA,30,30,3.4,0.49,146,14.5,31,163,44.4034500002441,-68.5645300000085,EF,f1dc7ad1-ddb5-44c9-aa66-209737c7b587
533888.5124,4917372.6223,229,EF017.80,CR,30,30,3.2,0.41,50,10.9,31,163,44.40885000011,-68.5743800005692,EF,415dd642-8615-402b-9fcc-a59a1b7a2858
534017.9307,4917900.9212,230,EF018.00,CR,30,30,9.1,0.68,160,69.4,31,163,44.4136000000109,-68.5727200001587,EF,0c04c54e-5deb-40b0-83cc-4d620625e64a
535574.8516,4916806.2168,231,EF019.00,CA,30,30,3.6,0.47,68,14.7,31,163,44.4036700001787,-68.5532399997811,EF,c89de4df-8dcd-417a-9b68-3115bfd949af
537596.9672,4916343.254,232,EF020.00,A,30,30,2.3,0.25,20,5,31,163,44.3993999999163,-68.5278800001031,EF,d15ae56d-33ce-41ae-9f65-e5be1cc4c8b7
538205.2876,4917448.6991,233,EF020.50,A,30,30,2.5,0.32,58,6.5,31,163,44.4093199999078,-68.5201599996624,EF,43fd45b3-7c62-404a-b82b-11cabb93114e
538077.6702,4918167.7491,235,EF022.00,P,12,12,6,0.51,48,27.8,31,163,44.4158000002179,-68.5217099998381,EF,c21b1f98-b61a-45b8-8319-8c76c0dc851b
538609.6372,4918144.2196,237,EF023.00,P,30,30,4.3,0.64,200,28.5,31,163,44.4155600002939,-68.5150300000146,EF,68eed555-f71c-48a7-b48a-0882b7215eac
540113.6741,4920067.218,238,EF024.00,A,30,30,2.6,0.32,26,6.9,31,163,44.4327900004004,-68.4959900003586,EF,672fed37-051c-4636-8151-83184ae563f5
541347.4283,4922436.5155,240,EF025.00,A,30,30,2.8,0.34,35,7.8,31,163,44.4540500000507,-68.4802999998826,EF,c69bec5f-1fb4-4a47-8193-433646e2eb8f
541815.1441,4917495.2924,241,EF026.00,A,30,30,3.3,0.48,112,13.8,31,163,44.4095399998361,-68.4748200001603,EF,7fbedc0a-fee9-433f-b6a2-7ca130a15cb0
542860.4952,4916664.5337,246,EG002.00,CA,30,30,3.2,0.44,86,11.9,31,163,44.4020000003025,-68.4617599998,EG,2265796f-d1e3-48e9-b85c-c7a4eee49f19
542146.8878,4920985.3675,248,EG004.00,CA,30,30,2.8,0.36,82,8.3,31,163,44.4409399998119,-68.4703699994743,EG,04eb9186-81d6-4d63-b120-bd7f4ccecac0
