X,Y,OBJECTID,Station,Class,Count_,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Min_Date,Lat_DD,Long_DD,Grow_Area,GlobalID
592902.0294,4937612.5538,311,EL040.50,CA,30,3.5,0.59,1700,20.6,31,163,2019/01/07 00:00:00+00,44.58587,-67.82967,EL,6ba52a23-cbfa-46d5-91ed-632ef8c19e4b
593763.2196,4936918.3472,312,EL041.70,CA,30,3.9,0.67,1700,28.9,31,163,2019/01/07 00:00:00+00,44.57951,-67.81895,EL,cea8fdc5-636f-49c3-8477-e55d85907bc1
595369.0847,4938572.7861,313,EL043.10,P,30,4.2,0.48,84,17.7,31,163,2018/06/25 00:00:00+00,44.59419,-67.79842,EL,8dbe13a4-319f-400a-ba26-797de4470a06
596581.9226,4937947.4652,314,EL046.00,R,30,5.6,0.52,200,26.5,31,163,2018/06/18 00:00:00+00,44.5884,-67.78326,EL,89f0bed5-5cf5-41fd-87fa-4167e62f6f23
596606.2318,4934451.3832,315,EL046.80,X,26,3,0.4,108,10,31,163,2016/02/18 00:00:00+00,44.55693,-67.78361,EL,937652f7-69a3-4c0e-b015-7cfb24e2792c
596624.0036,4934005.0111,316,EL047.00,A,30,3.5,0.46,94,13.6,31,163,2018/06/25 00:00:00+00,44.55291,-67.78347,EL,98f628fb-0164-47a5-ba6c-0043b95c9c9f
595023.9442,4933033.6641,317,EL047.20,A,30,3.4,0.61,1700,20.7,31,163,2018/06/18 00:00:00+00,44.54438,-67.80379,EL,14a4b0a7-f1c1-4db4-a211-ae0e609605fc
596700.7048,4933549.5182,318,EM001.00,A,30,3.1,0.44,80,11.6,31,163,2018/06/18 00:00:00+00,44.5488,-67.78259,EM,4f1eb6f6-458c-4272-818f-a0d10b6ee118
597720.8065,4934816.9511,319,EM003.00,A,30,4.1,0.54,106,20.8,31,163,2019/03/25 00:00:00+00,44.56007,-67.76951,EM,96aa780b-031d-4d50-990b-b3ae3364a702
597937.8207,4936015.7109,320,EM005.00,A,30,3.2,0.49,126,13.7,31,163,2018/08/13 00:00:00+00,44.57083,-67.76655,EM,a4d85cbb-7aec-4792-81a7-bad25e3c6c93
598458.9409,4936530.245,321,EM006.00,A,30,2.6,0.33,50,7,31,163,2018/06/18 00:00:00+00,44.57539,-67.75989,EM,319efe09-b1d8-4a67-8f66-e9a1852c4c66
600255.1498,4941000.9309,322,EM009.00,P,30,8.6,0.52,80,40.2,31,163,2018/12/18 00:00:00+00,44.61538,-67.7364,EM,7aa12498-56ad-4ff5-a3f4-418c0bf7fc2c
600063.8902,4939358.0373,323,EM010.00,A,30,6.1,0.55,108,31.4,31,163,2018/06/18 00:00:00+00,44.60062,-67.73913,EM,8fed9e4a-abae-4530-95cc-9370786ddc41
600002.9089,4937394.959,324,EM011.00,CA,30,3.7,0.45,90,14.2,31,163,2017/04/18 00:00:00+00,44.58296,-67.74028,EM,46a456fa-a752-4abd-b87a-93c3f387c7cd
599360.3385,4932327.5615,325,EM012.50,A,30,2.4,0.31,70,6.3,31,163,2018/06/18 00:00:00+00,44.53744,-67.74935,EM,ae1fed24-23a2-4551-9bb9-1090003c86fc
600098.1819,4931013.418,326,EM012.80,A,30,3.2,0.5,128,14.2,31,163,2019/01/23 00:00:00+00,44.52551,-67.74032,EM,de17396e-dd28-4064-ad70-8d5a0b22c898
600971.8998,4930744.7413,327,EM013.00,R,30,7.6,0.81,1700,82.8,31,163,2019/03/25 00:00:00+00,44.52297,-67.72938,EM,850ca245-d8a8-4240-909e-ed25d9806acb
600633.0674,4930553.9348,328,EM013.50,A,30,4.1,0.59,960,24.2,31,163,2019/03/25 00:00:00+00,44.5213,-67.73368,EM,c3aa84a7-3b03-4858-acf5-45ccdf47d771
