X,Y,OBJECTID,Station,Class,Count_,MFCount,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Min_Date,Lat_DD,Long_DD,Grow_Area,GlobalID
528069.8386,4875123.4616,146,ED001.50,A,30,30,1.9,0.09,6,2.5,31,163,2013/05/07 00:00:00+00,44.0287299997248,-68.6497200005864,ED,bfb0c9ce-3115-401b-a816-fadc351e79de
528428.7146,4878132.7923,147,ED002.00,A,30,30,1.9,0,2,1.9,31,163,2013/05/07 00:00:00+00,44.0558099996019,-68.6450800003151,ED,4c706119-3751-4ef6-8d2b-a8074cea09ff
527582.0436,4877368.3645,148,ED002.50,A,30,30,1.9,0,2,1.9,31,163,2013/05/07 00:00:00+00,44.0489600003149,-68.6556899999396,ED,e549e1c9-23a0-4ae4-b36b-3f05652c23f9
528030.216,4879169.6022,149,ED003.00,A,30,30,1.9,0.05,3.6,2.2,31,163,2013/05/07 00:00:00+00,44.0651599999686,-68.6500000004367,ED,ce6942f6-247f-4557-9397-a34cfaa52fe2
528844.5655,4880118.3294,151,ED003.70,A,30,30,1.9,0.08,5.5,2.5,31,163,2013/05/07 00:00:00+00,44.0736700000037,-68.6397799997208,ED,1bbcfede-8c03-4392-b3f7-c7a036e773a6
529896.1354,4881494.7477,154,ED004.40,A,30,30,1.9,0,2,1.9,31,163,2013/05/07 00:00:00+00,44.0860200001782,-68.6265700002093,ED,911235ff-1913-494b-b2c9-3b4fef0f5ad0
530772.905,4881642.0646,155,ED004.60,A,30,30,1.9,0,2,1.9,31,163,2013/05/07 00:00:00+00,44.0873099996024,-68.6156099998288,ED,071d12d1-ae34-4ea2-a03b-5bc69495dd84
531840.3963,4880416.4553,157,ED005.10,A,30,30,1.9,0,1.9,1.9,31,163,2013/05/07 00:00:00+00,44.076229999765,-68.6023499997724,ED,dbebe86a-7823-4ef1-a6bb-977f99da5144
530592.3064,4874484.8974,160,ED007.00,A,30,30,2,0.1,6,2.7,31,163,2013/05/07 00:00:00+00,44.0228800000889,-68.6182799994193,ED,ac9a31d3-af32-4123-98ca-2206c3240ff3
544758.5543,4890111.7178,161,EE001.00,R,30,30,5.7,0.75,1020,53.4,31,163,2014/07/29 00:00:00+00,44.162839999606,-68.440200000526,EE,d049b935-cabd-4426-8296-9302269fc996
546219.92,4891288.1339,165,EE002.00,R,30,30,7.4,0.62,88,47.4,31,163,2013/07/23 00:00:00+00,44.1733400000642,-68.4218200004938,EE,1012e774-d65f-4de2-8c99-3d50cf6d5db7
546126.7389,4892262.7346,166,EE003.00,A,30,30,3.4,0.45,84,13.3,31,163,2013/04/16 00:00:00+00,44.1821200002998,-68.4229000000551,EE,6ae6fff6-7401-4efc-872f-ca254db543ff
545146.4118,4887422.9946,171,EE006.40,A,30,30,2.9,0.45,80,11.3,31,163,2013/04/16 00:00:00+00,44.1386099997006,-68.4355800001924,EE,471a78bc-1bf2-4141-957f-7dfdbbc77a90
544657.8273,4887752.8883,172,EE006.80,R,30,30,3.2,0.5,114,14.4,31,163,2013/04/16 00:00:00+00,44.1416099997865,-68.4416600005779,EE,7df1d5d4-f79f-44b4-ae1a-9c7e11ce07a5
545056.1074,4887877.787,173,EE007.00,R,30,30,11,0.71,320,90.6,31,163,2013/04/16 00:00:00+00,44.1427099999878,-68.4366699995182,EE,a9f4bf7b-46bd-4753-b7ae-33846305a2ae
544557.2601,4888901.8424,174,EE008.00,A,30,30,4,0.47,120,16.4,31,163,2013/04/16 00:00:00+00,44.1519600003976,-68.4428200004049,EE,f8404ead-9154-4366-ac4a-27a47a2f539c
544537.9116,4889397.1106,175,EE009.00,P,30,30,3.4,0.36,25,10.2,31,163,2013/04/16 00:00:00+00,44.1564200003362,-68.443020000506,EE,ee48b841-54e2-4521-94db-8233e5c2f3ce
544018.5315,4888978.1897,177,EE009.30,P,30,30,4.9,0.58,540,27.5,31,163,2013/04/16 00:00:00+00,44.1526799999675,-68.4495499993834,EE,80d9281d-24e9-4c39-8ea5-7263879ee37d
544076.6054,4888068.8674,178,EE009.50,P,30,30,3.2,0.43,66,11.7,31,163,2013/04/16 00:00:00+00,44.1444899996905,-68.4488999999679,EE,90c117a7-c7b2-461d-ba6f-d088f9787c9f
543988.1431,4887422.9257,179,EE009.70,A,30,30,3.1,0.39,38,10.1,31,163,2013/04/16 00:00:00+00,44.138680000353,-68.4500600000951,EE,ff1a64b5-0cf2-4b13-93e7-7f5d11adf910
543770.501,4888755.4936,180,EE010.00,A,30,30,3.9,0.49,78,17,31,163,2013/04/16 00:00:00+00,44.1506900002268,-68.4526700002509,EE,d73e6817-9590-4d51-bbf4-f9c6b759bb07
543464.3694,4889818.681,181,EE011.00,A,30,30,3.4,0.42,46,11.9,31,163,2013/04/16 00:00:00+00,44.1602800003688,-68.4564100003479,EE,30c4c671-010c-4e63-ab94-9a2623b429f3
543104.6091,4889808.5376,182,EE011.30,R,30,30,5.3,0.6,120,31.4,31,163,2013/04/16 00:00:00+00,44.1602100004427,-68.4609099995034,EE,48ce9233-b7b9-44aa-8a40-de5e19ab50f1
542905.6316,4889911.6475,183,EE011.40,R,30,30,6.6,0.69,900,51.3,31,163,2014/04/22 00:00:00+00,44.1611499998532,-68.4633899994495,EE,62a09eb7-358a-4203-981a-b94cf3e67433
542033.2095,4889920.4527,186,EE013.00,A,30,30,4.1,0.53,320,20.1,31,163,2013/04/16 00:00:00+00,44.1612800003704,-68.4743000004098,EE,92eaba3a-41e3-4fc0-8435-e77748671b00
542443.2923,4891671.4211,189,EE015.00,R,30,30,5.3,0.69,220,40.8,31,163,2013/10/22 00:00:00+00,44.1770199997611,-68.4690299998346,EE,3205b2c8-e38a-47a8-91be-6f45a23a6741
544148.644,4891633.7824,192,EE016.50,A,30,30,3.2,0.57,440,18,31,163,2013/04/16 00:00:00+00,44.1765799999894,-68.4476999995931,EE,bd8d4a09-b7ad-46f8-ba97-bdce2822fde1
543556.8265,4889863.7231,194,EE017.00,A,30,30,3.6,0.65,480,25.4,31,163,2013/04/16 00:00:00+00,44.1606799998672,-68.4552500000615,EE,cd3c2a23-9925-4377-9d4c-da0675049610
550842.9112,4885315.1977,197,EE019.00,A,30,30,2.1,0.15,8,3.5,31,163,2013/05/21 00:00:00+00,44.1192600000933,-68.3645700005146,EE,9e410215-51cd-4342-af06-9cb02f50da8f
535369.7809,4902301.6807,201,EF001.90,R,30,30,8.4,0.65,114,58.2,31,163,2013/07/01 00:00:00+00,44.2730999998885,-68.5567999995746,EF,30292cb2-9d68-42f4-9446-31e172b0f405
535520.9713,4902677.9375,202,EF002.00,R,30,30,8,0.63,118,52,31,163,2013/07/01 00:00:00+00,44.2764799998799,-68.5548799999832,EF,01ff6612-f8bd-4e14-a76b-c8371cae8c4f
537627.6128,4901040.2114,203,EF002.50,A,30,30,3.3,0.46,62,13.2,31,163,2013/07/23 00:00:00+00,44.2616300002413,-68.5286000004601,EF,4cdacb0d-408a-4ea6-84b5-faeab56f83cc
537610.1611,4902967.2943,205,EF004.00,A,30,30,3.5,0.58,880,19.6,31,163,2013/05/29 00:00:00+00,44.2789799999077,-68.5286799993846,EF,56521231-c2de-4c51-9d34-5fcc9c7248f0
537511.0201,4903278.8521,206,EF004.10,A,30,30,2.8,0.37,60,8.6,31,163,2013/07/23 00:00:00+00,44.2817900001021,-68.529899999808,EF,879d7633-18a2-499b-9fe7-7844b2b0043a
536297.9207,4904321.6918,207,EF005.00,A,30,30,2.8,0.44,72,10.8,31,163,2013/07/23 00:00:00+00,44.2912400002894,-68.545029999877,EF,a5c9152e-4852-4d3c-abc1-3ae0683d2c1c
534764.7993,4906364.9599,208,EF006.00,A,30,30,3.5,0.56,560,18.3,31,163,2007/01/08 00:00:00+00,44.3097100000205,-68.5641100003526,EF,be80327d-faf5-478c-ae93-786e307cdbde
536143.1333,4911247.6327,210,EF008.00,P,30,30,3.1,0.47,160,12.9,31,163,2013/05/29 00:00:00+00,44.3535999996686,-68.5464900000139,EF,9591f94b-e66f-455a-a8b5-7aded5977753
535097.2997,4913505.7028,211,EF009.00,A,30,30,2.1,0.13,6,3.1,31,163,2013/05/29 00:00:00+00,44.3739800003902,-68.5594599996686,EF,2afff742-213f-4434-bd72-f1599b3ff9e4
534516.7954,4911489.8719,212,EF009.30,A,30,30,2.3,0.22,15,4.5,31,163,2013/04/10 00:00:00+00,44.3558600002705,-68.5668800004187,EF,19537707-3155-4c31-a68c-92a7a104507e
533296.032,4909266.4273,213,EF009.70,A,30,30,2.8,0.37,66,8.5,31,163,2013/05/29 00:00:00+00,44.3359000004094,-68.5823400003519,EF,f3639bd7-8655-43ed-bd7f-532f6f4956b2
532824.9348,4909095.2069,214,EF010.00,CA,30,30,3.5,0.55,136,17.8,31,163,2015/07/07 00:00:00+00,44.3343800002518,-68.5882600004049,EF,e7813008-3ef1-42e3-912f-c74ac4c04ced
533212.3833,4910195.7193,215,EF010.50,CA,30,30,3.1,0.48,108,13.3,31,163,2015/07/07 00:00:00+00,44.3442700000299,-68.5833300004621,EF,f72567d6-ea3b-4820-8a78-2cf4305be90c
