X,Y,OBJECTID,Station,Class,Count_,MFCount,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Min_Date,Lat_DD,Long_DD,Grow_Area
424297.1331,4855930.5556,839,WK014.00,A,30,30,3.1,0.35,27,8.9,31,163,2011/05/02 00:00:00+00,43.85258,-69.9419,WK
424703.2292,4856937.8803,840,WK014.10,A,30,30,4.6,0.47,64,18.7,31,163,2011/05/02 00:00:00+00,43.86169,-69.93699,WK
425190.8126,4855985.9735,841,WK014.20,A,30,30,2.8,0.3,22,7,31,163,2011/05/02 00:00:00+00,43.85317,-69.93079,WK
424900.4111,4855397.1939,842,WK014.30,A,30,30,3.6,0.47,160,14.7,31,163,2011/03/28 00:00:00+00,43.84784,-69.93432,WK
424577.3695,4854557.7566,843,WK014.40,A,30,30,2.1,0.1,4,2.8,31,163,2011/02/09 00:00:00+00,43.84025,-69.93822,WK
425456.4576,4853869.1492,844,WK015.10,A,30,30,3.6,0.58,540,20.3,31,163,2011/04/06 00:00:00+00,43.83414,-69.92719,WK
425099.1672,4851129.5116,845,WK017.00,A,30,30,4.6,0.58,300,26.4,31,163,2010/10/12 00:00:00+00,43.80944,-69.93125,WK
425671.3606,4855686.2214,846,WK018.00,A,30,30,3,0.34,22,8.3,31,163,2011/03/28 00:00:00+00,43.85052,-69.92477,WK
426134.2363,4856396.4118,847,WK018.10,A,30,30,2.5,0.22,16,4.9,31,163,2011/03/28 00:00:00+00,43.85696,-69.91911,WK
424117.2586,4851577.1744,848,WK019.80,A,30,30,2.9,0.5,240,12.9,31,163,2011/03/29 00:00:00+00,43.81337,-69.94352,WK
424137.89,4851693.5724,849,WK020.00,A,30,30,2.6,0.43,156,9.6,31,163,2011/03/29 00:00:00+00,43.81442,-69.94328,WK
423955.4301,4849591.8158,850,WK022.00,P,30,30,1.9,0,2,1.9,31,163,2011/03/29 00:00:00+00,43.79548,-69.94525,WK
423158.0933,4848059.1899,851,WK023.00,A,30,30,4.3,0.65,1240,29.9,31,163,2011/03/29 00:00:00+00,43.7816,-69.95494,WK
422336.761,4848504.1441,852,WK023.10,A,30,30,2.3,0.26,20,5,31,163,2011/08/17 00:00:00+00,43.78552,-69.96521,WK
422932.6599,4849233.6791,853,WK023.20,A,30,30,2.2,0.22,20,4.4,31,163,2011/08/17 00:00:00+00,43.79215,-69.95791,WK
422182.1776,4847257.4161,854,WK024.00,CA,30,30,3,0.29,16,7.2,31,163,2009/04/15 00:00:00+00,43.77428,-69.96695,WK
421182.8051,4845989.5241,855,WK025.00,A,30,30,4.2,0.45,40,16,31,163,2011/03/29 00:00:00+00,43.76276,-69.97918,WK
423174.8657,4847210.3537,856,WK042.00,P,30,30,4.6,0.72,1700,39.4,31,163,2011/04/06 00:00:00+00,43.77396,-69.95461,WK
424180.2698,4849340.4356,857,WK044.00,A,30,30,3.4,0.49,90,14.8,31,163,2011/02/15 00:00:00+00,43.79324,-69.94242,WK
423965.4488,4848284.3036,858,WK044.50,A,30,30,3,0.38,36,9.5,31,163,2011/05/04 00:00:00+00,43.78371,-69.94494,WK
424108.5204,4847279.6329,859,WK048.00,P,30,30,4.9,0.56,88,26.4,31,163,2011/04/06 00:00:00+00,43.77468,-69.94302,WK
424767.4137,4847752.0203,860,WK052.00,P,30,30,8.6,0.96,1700,146.9,31,163,2011/04/06 00:00:00+00,43.779,-69.9349,WK
